latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
55.92267,-3.1288147,74.0,0,GMT,GMT

time,wind_direction_10m (°),wind_direction_100m (°),wind_speed_100m (km/h),wind_speed_10m (km/h)
2024-12-01T00:00,187,189,52.7,33.6
2024-12-01T01:00,189,191,52.1,33.2
2024-12-01T02:00,193,195,51.1,32.7
2024-12-01T03:00,197,198,45.5,29.0
2024-12-01T04:00,203,204,40.6,25.1
2024-12-01T05:00,207,208,34.1,20.7
2024-12-01T06:00,201,205,30.2,17.8
2024-12-01T07:00,206,210,29.5,17.1
2024-12-01T08:00,197,203,29.9,17.4
2024-12-01T09:00,201,205,30.3,17.5
2024-12-01T10:00,204,207,30.6,17.9
2024-12-01T11:00,211,213,30.2,18.2
2024-12-01T12:00,211,212,26.8,16.6
2024-12-01T13:00,223,224,31.7,20.2
2024-12-01T14:00,222,223,28.4,17.6
2024-12-01T15:00,220,221,26.5,15.7
2024-12-01T16:00,218,221,24.9,14.0
2024-12-01T17:00,218,222,24.9,14.0
2024-12-01T18:00,213,217,24.8,13.5
2024-12-01T19:00,213,216,25.4,14.0
2024-12-01T20:00,225,225,28.0,15.8
2024-12-01T21:00,236,238,26.6,15.4
2024-12-01T22:00,236,242,23.6,13.2
2024-12-01T23:00,236,242,25.5,14.3
2024-12-02T00:00,241,245,26.0,15.0
2024-12-02T01:00,241,248,23.1,13.1
2024-12-02T02:00,240,249,22.8,12.4
2024-12-02T03:00,271,275,24.6,14.0
2024-12-02T04:00,331,337,28.5,17.5
2024-12-02T05:00,11,14,28.6,18.4
2024-12-02T06:00,3,9,24.9,15.5
2024-12-02T07:00,340,347,23.1,14.2
2024-12-02T08:00,349,353,26.8,16.5
2024-12-02T09:00,340,344,28.2,17.6
2024-12-02T10:00,329,333,26.0,16.8
2024-12-02T11:00,319,324,25.3,16.6
2024-12-02T12:00,318,322,22.7,15.0
2024-12-02T13:00,324,325,23.3,16.1
2024-12-02T14:00,316,318,21.0,14.4
2024-12-02T15:00,316,319,20.8,13.6
